date	value	num_people
2012-05-06	0	22478
2012-05-06	1	5036
2012-05-06	2	2033
2012-05-06	3	1248
2012-05-06	4	911
2012-05-06	5	711
2012-05-06	6	567
2012-05-06	7	512
2012-05-06	8	413
2012-05-06	9	362
2012-05-06	10	323
2012-05-06	11	256
2012-05-06	12	209
2012-05-07	0	26693
2012-05-07	1	5746
2012-05-07	2	2257
2012-05-07	3	1423
2012-05-07	4	989
2012-05-07	5	833
2012-05-07	6	614
2012-05-07	7	532
2012-05-07	8	440
2012-05-07	9	408
2012-05-07	10	350
2012-05-07	11	314
2012-05-07	12	267
2012-05-09	0	27648
2012-05-09	1	5995
2012-05-09	2	2415
2012-05-09	3	1495
2012-05-09	4	1072
2012-05-09	5	879
2012-05-09	6	707
2012-05-09	7	581
2012-05-09	8	497
2012-05-09	9	433
2012-05-09	10	358
2012-05-09	11	298
2012-05-09	12	257
2012-05-10	0	26887
2012-05-10	1	7515
2012-05-10	2	2273
2012-05-10	3	1418
2012-05-10	4	1132
2012-05-10	5	881
2012-05-10	6	655
2012-05-10	7	600
2012-05-10	8	471
2012-05-10	9	408
2012-05-10	10	351
2012-05-10	11	346
2012-05-10	12	281
2012-05-11	0	26209
2012-05-11	1	5861
2012-05-11	2	2267
2012-05-11	3	1461
2012-05-11	4	1051
2012-05-11	5	825
2012-05-11	6	667
2012-05-11	7	591
2012-05-11	8	486
2012-05-11	9	417
2012-05-11	10	361
2012-05-11	11	326
2012-05-11	12	260
2012-05-12	0	25397
2012-05-12	1	5658
2012-05-12	2	2222
2012-05-12	3	1388
2012-05-12	4	1040
2012-05-12	5	803
2012-05-12	6	662
2012-05-12	7	527
2012-05-12	8	445
2012-05-12	9	385
2012-05-12	10	344
2012-05-12	11	298
2012-05-12	12	272
2012-05-13	0	22982
2012-05-13	1	5389
2012-05-13	2	2185
2012-05-13	3	1340
2012-05-13	4	971
2012-05-13	5	766
2012-05-13	6	597
2012-05-13	7	488
2012-05-13	8	451
2012-05-13	9	386
2012-05-13	10	325
2012-05-13	11	294
2012-05-13	12	229
2012-05-14	0	25263
2012-05-14	1	5687
2012-05-14	2	2325
2012-05-14	3	1412
2012-05-14	4	1061
2012-05-14	5	816
2012-05-14	6	690
2012-05-14	7	576
2012-05-14	8	439
2012-05-14	9	413
2012-05-14	10	335
2012-05-14	11	298
2012-05-14	12	268
